  perrin                  Soma: wall     4ms inner     1ms   Numba: wall   334ms inner    0.65ms   speedup:        0.65x
  pollard_rho             Soma: wall    19ms inner     7ms   Numba: wall    39ms inner   20.39ms   speedup:        2.91x
  primorial               Soma: wall     5ms inner   —ms   Numba: wall    19ms inner    0.02ms   speedup:  3.80x(wall)
  pythagoras              Soma: wall     4ms inner   —ms   Numba: wall   334ms inner    0.03ms   speedup: 83.50x(wall)
  quadratic_primes        Soma: wall    18ms inner     8ms   Numba: wall   340ms inner    7.66ms   speedup:        0.96x
  quicksort               Soma: wall     5ms inner   —ms   Numba: wall   340ms inner    1.50ms   speedup: 68.00x(wall)
  random_walk             Soma: wall     9ms inner   —ms   Numba: wall   339ms inner    1.56ms   speedup: 37.67x(wall)
  recaman                 Soma: wall     5ms inner   —ms   Numba: wall   340ms inner    0.01ms   speedup: 68.00x(wall)
  sieve                   Soma: wall    38ms inner    29ms   Numba: wall   445ms inner  110.57ms   speedup:        3.81x
  simpson                 Soma: wall     5ms inner   —ms   Numba: wall   338ms inner    0.69ms   speedup: 67.60x(wall)
  sobol_monte_carlo       Soma: wall    73ms inner    35ms   Numba: wall   391ms inner   33.26ms   speedup:        0.95x
  sophie_germain          Soma: wall     9ms inner     1ms   Numba: wall   340ms inner    1.29ms   speedup:        1.29x
  spiral_diag             Soma: wall     4ms inner   —ms   Numba: wall   336ms inner    0.00ms   speedup: 84.00x(wall)
  stirling2               Soma: wall     4ms inner   —ms   Numba: wall    20ms inner    0.02ms   speedup:  5.00x(wall)
  sum_squares             Soma: wall     4ms inner   —ms   Numba: wall    20ms inner    0.01ms   speedup:  5.00x(wall)
  tonelli_shanks          Soma: wall     4ms inner   —ms   Numba: wall    20ms inner    0.01ms   speedup:  5.00x(wall)
  totient                 Soma: wall     4ms inner   —ms   Numba: wall   336ms inner    1.07ms   speedup: 84.00x(wall)
  triangle_words          Soma: wall     5ms inner   —ms   Numba: wall    19ms inner    0.01ms   speedup:  3.80x(wall)
  triangular              Soma: wall     9ms inner   —ms   Numba: wall   333ms inner    2.67ms   speedup: 37.00x(wall)
  tribonacci              Soma: wall     5ms inner   —ms   Numba: wall    20ms inner    0.01ms   speedup:  4.00x(wall)
  truncatable_primes      Soma: wall    35ms inner    19ms   Numba: wall   873ms inner  839.05ms   speedup:       44.16x
  twin_primes             Soma: wall    36ms inner    28ms   Numba: wall   386ms inner   27.48ms   speedup:        0.98x
  wallis                  Soma: wall    10ms inner   —ms   Numba: wall   342ms inner    0.71ms   speedup: 34.20x(wall)
  wilson                  Soma: wall    10ms inner     2ms   Numba: wall    33ms inner   11.50ms   speedup:        5.75x
  word_count              Soma: wall     4ms inner   —ms   Numba: wall   338ms inner    1.71ms   speedup: 84.50x(wall)
  zeller                  Soma: wall     5ms inner   —ms   Numba: wall   337ms inner    0.00ms   speedup: 67.40x(wall)
  zeta3                   Soma: wall     4ms inner   —ms   Numba: wall   123ms inner   57.91ms   speedup: 30.75x(wall)
